title,price,address,no_bedrooms
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
5 Bedroom House to Rent in Lavington,275000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
5 Bedroom House to Rent in Lavington,275000,Lavington,5
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
3 Bedroom Apartment / Flat to Rent in Kilimani,130000,Kilimani,3
4 Bedroom Townhouse to Rent in Runda,200000,"Ruaka Rd Kitisuru, Runda",4
2 Bedroom Apartment / Flat to Rent in Langata,30000,Langata,2
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000,Lower Kabete,2
2 Bedroom Apartment / Flat to Rent in Riverside,160000,"Riverside Dr, Riverside",2
3 Bedroom Apartment / Flat to Rent in Westlands,105000,Westlands,3
3 Bedroom Apartment / Flat to Rent in Riverside,330000,"Riverside Dr, Riverside",3
3 Bedroom Apartment / Flat to Rent in Kilimani,80000,Kilimani,3
1 Bedroom Apartment / Flat to Rent in Riverside,150000,"Riverside Dr, Riverside",1
4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000,"Ndemi Rd Kilimani, Kileleshwa",4
5 Bedroom Townhouse to Rent in Lavington,400000,Lavington,5
2 Bedroom Apartment / Flat to Rent in Riverside,250000,"Riverside Dr, Riverside",2
2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000,"Kileleshwa, Kileleshwa",2
5 Bedroom Townhouse to Rent in Karen,350000,"Nandi Rd Karen, Karen",5
2 Bedroom Apartment / Flat to Rent in Kilimani,85000,Kilimani,2
2 Bedroom Apartment / Flat to Rent in Kilimani,215000,Kilimani,2
3 Bedroom Apartment / Flat to Rent in Westlands,100000,"Brookside drive westland, Westlands",3
5 Bedroom House to Rent in Lavington,275000,Lavington,5
